unitid,year,fips,race,sex,completers
108667,2015,6,6,1,1
108667,2015,6,6,99,2
108667,2015,6,6,2,1
108667,2015,6,8,1,4
108667,2015,6,8,99,7
108667,2015,6,8,2,3
108667,2015,6,99,1,156
108667,2015,6,99,99,327
108667,2015,6,99,2,171
108667,2015,6,9,1,13
108667,2015,6,9,99,25
108667,2015,6,9,2,12
108667,2015,6,1,1,35
108667,2015,6,1,99,48
108667,2015,6,1,2,13
108807,2014,6,7,1,10
108807,2014,6,7,99,29
108807,2014,6,7,2,19
108807,2014,6,5,1,0
108807,2014,6,5,99,4
108807,2014,6,5,2,4
108807,2014,6,4,1,19
108807,2014,6,4,99,65
108807,2014,6,4,2,46
108807,2014,6,2,1,18
108807,2014,6,2,99,28
108807,2014,6,2,2,10
108807,2014,6,3,1,226
108807,2014,6,3,99,583
108807,2014,6,3,2,357
108807,2014,6,6,1,3
108807,2014,6,6,99,5
108807,2014,6,6,2,2
108807,2014,6,8,1,1
108807,2014,6,8,99,1
108807,2014,6,8,2,0
108807,2014,6,99,1,473
108807,2014,6,99,99,1188
108807,2014,6,99,2,715
108807,2014,6,9,1,0
108807,2014,6,9,99,0
108807,2014,6,9,2,0
108807,2014,6,1,1,196
108807,2014,6,1,99,473
108807,2014,6,1,2,277
108807,2015,6,7,1,19
108807,2015,6,7,99,35
108807,2015,6,7,2,16
108807,2015,6,5,1,4
108807,2015,6,5,99,12
108807,2015,6,5,2,8
108807,2015,6,4,1,23
108807,2015,6,4,99,57
108807,2015,6,4,2,34
108807,2015,6,2,1,16
108807,2015,6,2,99,27
108807,2015,6,2,2,11
108807,2015,6,3,1,243
108807,2015,6,3,99,566
108807,2015,6,3,2,323
108807,2015,6,6,1,2
108807,2015,6,6,99,3
108807,2015,6,6,2,1
108807,2015,6,8,1,2
108807,2015,6,8,99,4
108807,2015,6,8,2,2
108807,2015,6,99,1,467
108807,2015,6,99,99,1101
108807,2015,6,99,2,634
108807,2015,6,9,1,0
108807,2015,6,9,99,0
108807,2015,6,9,2,0
108807,2015,6,1,1,158
108807,2015,6,1,99,397
108807,2015,6,1,2,239
108852,2014,6,7,1,2
108852,2014,6,7,99,7
108852,2014,6,7,2,5
108852,2014,6,5,1,1
108852,2014,6,5,99,1
108852,2014,6,5,2,0
108852,2014,6,4,1,1
108852,2014,6,4,99,3
108852,2014,6,4,2,2
108852,2014,6,2,1,5
108852,2014,6,2,99,13
108852,2014,6,2,2,8
108852,2014,6,3,1,3
108852,2014,6,3,99,8
108852,2014,6,3,2,5
108852,2014,6,6,1,0
108852,2014,6,6,99,0
108852,2014,6,6,2,0
108852,2014,6,8,1,10
108852,2014,6,8,99,31
108852,2014,6,8,2,21
108852,2014,6,99,1,57
108852,2014,6,99,99,135
108852,2014,6,99,2,78
108852,2014,6,9,1,3
108852,2014,6,9,99,4
108852,2014,6,9,2,1
108852,2014,6,1,1,32
108852,2014,6,1,99,68
108852,2014,6,1,2,36
108852,2015,6,7,1,1
108852,2015,6,7,99,4
108852,2015,6,7,2,3
108852,2015,6,5,1,1
108852,2015,6,5,99,1
108852,2015,6,5,2,0
108852,2015,6,4,1,0
108852,2015,6,4,99,0
108852,2015,6,4,2,0
108852,2015,6,2,1,10
108852,2015,6,2,99,14
108852,2015,6,2,2,4
108852,2015,6,3,1,0
108852,2015,6,3,99,1
108852,2015,6,3,2,1
108852,2015,6,6,1,0
108852,2015,6,6,99,0
108852,2015,6,6,2,0
108852,2015,6,8,1,16
108852,2015,6,8,99,45
108852,2015,6,8,2,29
108852,2015,6,99,1,56
108852,2015,6,99,99,126
108852,2015,6,99,2,70
108852,2015,6,9,1,8
108852,2015,6,9,99,16
108852,2015,6,9,2,8
108852,2015,6,1,1,20
108852,2015,6,1,99,45
108852,2015,6,1,2,25
108861,2014,6,7,1,0
108861,2014,6,7,99,0
108861,2014,6,7,2,0
108861,2014,6,5,1,0
108861,2014,6,5,99,0
108861,2014,6,5,2,0
108861,2014,6,4,1,2
108861,2014,6,4,99,3
108861,2014,6,4,2,1
108861,2014,6,2,1,2
108861,2014,6,2,99,5
108861,2014,6,2,2,3
108861,2014,6,3,1,0
108861,2014,6,3,99,0
108861,2014,6,3,2,0
108861,2014,6,6,1,0
108861,2014,6,6,99,0
108861,2014,6,6,2,0
108861,2014,6,8,1,1
108861,2014,6,8,99,1
108861,2014,6,8,2,0
108861,2014,6,99,1,6
108861,2014,6,99,99,10
108861,2014,6,99,2,4
108861,2014,6,9,1,0
108861,2014,6,9,99,0
108861,2014,6,9,2,0
108861,2014,6,1,1,1
108861,2014,6,1,99,1
108861,2014,6,1,2,0
108861,2015,6,7,1,0
108861,2015,6,7,99,0
108861,2015,6,7,2,0
108861,2015,6,5,1,0
108861,2015,6,5,99,0
108861,2015,6,5,2,0
108861,2015,6,4,1,2
108861,2015,6,4,99,3
108861,2015,6,4,2,1
108861,2015,6,2,1,4
108861,2015,6,2,99,5
108861,2015,6,2,2,1
108861,2015,6,3,1,0
108861,2015,6,3,99,0
108861,2015,6,3,2,0
108861,2015,6,6,1,0
108861,2015,6,6,99,0
108861,2015,6,6,2,0
108861,2015,6,8,1,3
108861,2015,6,8,99,3
108861,2015,6,8,2,0
108861,2015,6,99,1,9
108861,2015,6,99,99,11
108861,2015,6,99,2,2
108861,2015,6,9,1,0
108861,2015,6,9,99,0
108861,2015,6,9,2,0
108861,2015,6,1,1,0
108861,2015,6,1,99,0
108861,2015,6,1,2,0
108870,2014,6,7,1,3
108870,2014,6,7,99,4
108870,2014,6,7,2,1
108870,2014,6,5,1,1
108870,2014,6,5,99,1
108870,2014,6,5,2,0
108870,2014,6,4,1,4
108870,2014,6,4,99,12
108870,2014,6,4,2,8
108870,2014,6,2,1,0
108870,2014,6,2,99,3
108870,2014,6,2,2,3
108870,2014,6,3,1,5
108870,2014,6,3,99,8
108870,2014,6,3,2,3
108870,2014,6,6,1,0
108870,2014,6,6,99,0
108870,2014,6,6,2,0
108870,2014,6,8,1,18
108870,2014,6,8,99,34
108870,2014,6,8,2,16
108870,2014,6,99,1,77
108870,2014,6,99,99,129
108870,2014,6,99,2,52
108870,2014,6,9,1,2
108870,2014,6,9,99,4
108870,2014,6,9,2,2
108870,2014,6,1,1,44
108870,2014,6,1,99,63
108870,2014,6,1,2,19
108870,2015,6,7,1,1
108870,2015,6,7,99,4
108870,2015,6,7,2,3
108870,2015,6,5,1,2
108870,2015,6,5,99,3
108870,2015,6,5,2,1
108870,2015,6,4,1,2
108870,2015,6,4,99,2
108870,2015,6,4,2,0
108870,2015,6,2,1,1
108870,2015,6,2,99,3
108870,2015,6,2,2,2
108870,2015,6,3,1,8
108870,2015,6,3,99,15
108870,2015,6,3,2,7
108870,2015,6,6,1,0
108870,2015,6,6,99,0
108870,2015,6,6,2,0
108870,2015,6,8,1,20
108870,2015,6,8,99,37
108870,2015,6,8,2,17
108870,2015,6,99,1,65
108870,2015,6,99,99,117
108870,2015,6,99,2,52
108870,2015,6,9,1,3
108870,2015,6,9,99,5
108870,2015,6,9,2,2
108870,2015,6,1,1,28
108870,2015,6,1,99,48
108870,2015,6,1,2,20
108977,2014,6,7,1,1
108977,2014,6,7,99,1
108977,2014,6,7,2,0
108977,2014,6,5,1,0
108977,2014,6,5,99,0
108977,2014,6,5,2,0
108977,2014,6,4,1,0
108977,2014,6,4,99,0
108977,2014,6,4,2,0
108977,2014,6,2,1,0
108977,2014,6,2,99,2
108977,2014,6,2,2,2
108977,2014,6,3,1,22
108977,2014,6,3,99,44
108977,2014,6,3,2,22
108977,2014,6,6,1,0
108977,2014,6,6,99,0
108977,2014,6,6,2,0
108977,2014,6,8,1,0
108977,2014,6,8,99,0
108977,2014,6,8,2,0
108977,2014,6,99,1,25
108977,2014,6,99,99,54
108977,2014,6,99,2,29
108977,2014,6,9,1,1
108977,2014,6,9,99,1
108977,2014,6,9,2,0
108977,2014,6,1,1,1
108977,2014,6,1,99,6
108977,2014,6,1,2,5
108977,2015,6,7,1,0
108977,2015,6,7,99,0
108977,2015,6,7,2,0
108977,2015,6,5,1,0
108977,2015,6,5,99,0
108977,2015,6,5,2,0
108977,2015,6,4,1,4
108977,2015,6,4,99,5
108977,2015,6,4,2,1
108977,2015,6,2,1,1
108977,2015,6,2,99,2
108977,2015,6,2,2,1
108977,2015,6,3,1,21
108977,2015,6,3,99,46
108977,2015,6,3,2,25
108977,2015,6,6,1,0
108977,2015,6,6,99,0
108977,2015,6,6,2,0
108977,2015,6,8,1,0
108977,2015,6,8,99,0
108977,2015,6,8,2,0
108977,2015,6,99,1,29
108977,2015,6,99,99,59
108977,2015,6,99,2,30
108977,2015,6,9,1,0
108977,2015,6,9,99,0
108977,2015,6,9,2,0
108977,2015,6,1,1,3
108977,2015,6,1,99,6
108977,2015,6,1,2,3
109040,2014,6,7,1,9
109040,2014,6,7,99,54
109040,2014,6,7,2,45
109040,2014,6,5,1,2
109040,2014,6,5,99,4
109040,2014,6,5,2,2
109040,2014,6,4,1,32
109040,2014,6,4,99,73
109040,2014,6,4,2,41
109040,2014,6,2,1,17
109040,2014,6,2,99,130
109040,2014,6,2,2,113
109040,2014,6,3,1,156
109040,2014,6,3,99,725
109040,2014,6,3,2,569
109040,2014,6,6,1,5
109040,2014,6,6,99,10
109040,2014,6,6,2,5
109040,2014,6,8,1,0
109040,2014,6,8,99,0
109040,2014,6,8,2,0
109040,2014,6,99,1,239
109040,2014,6,99,99,1046
109040,2014,6,99,2,807
109040,2014,6,9,1,2
109040,2014,6,9,99,7
109040,2014,6,9,2,5
109040,2014,6,1,1,16
109040,2014,6,1,99,43
109040,2014,6,1,2,27
109040,2015,6,7,1,12
109040,2015,6,7,99,50
109040,2015,6,7,2,38
109040,2015,6,5,1,0
109040,2015,6,5,99,2
109040,2015,6,5,2,2
109040,2015,6,4,1,26
109040,2015,6,4,99,82
109040,2015,6,4,2,56
109040,2015,6,2,1,18
109040,2015,6,2,99,101
109040,2015,6,2,2,83
109040,2015,6,3,1,127
109040,2015,6,3,99,675
109040,2015,6,3,2,548
109040,2015,6,6,1,2
109040,2015,6,6,99,12
109040,2015,6,6,2,10
109040,2015,6,8,1,0
109040,2015,6,8,99,0
109040,2015,6,8,2,0
109040,2015,6,99,1,204
109040,2015,6,99,99,990
109040,2015,6,99,2,786
109040,2015,6,9,1,6
109040,2015,6,9,99,19
109040,2015,6,9,2,13
109040,2015,6,1,1,13
109040,2015,6,1,99,49
109040,2015,6,1,2,36
109086,2014,6,7,1,1
109086,2014,6,7,99,7
109086,2014,6,7,2,6
109086,2014,6,5,1,0
109086,2014,6,5,99,0
109086,2014,6,5,2,0
109086,2014,6,4,1,2
109086,2014,6,4,99,9
109086,2014,6,4,2,7
109086,2014,6,2,1,4
109086,2014,6,2,99,7
109086,2014,6,2,2,3
109086,2014,6,3,1,1
109086,2014,6,3,99,7
109086,2014,6,3,2,6
109086,2014,6,6,1,0
109086,2014,6,6,99,0
109086,2014,6,6,2,0
109086,2014,6,8,1,3
109086,2014,6,8,99,6
109086,2014,6,8,2,3
109086,2014,6,99,1,32
109086,2014,6,99,99,91
109086,2014,6,99,2,59
109086,2014,6,9,1,4
109086,2014,6,9,99,13
109086,2014,6,9,2,9
109086,2014,6,1,1,17
109086,2014,6,1,99,42
109086,2014,6,1,2,25
109086,2015,6,7,1,2
109086,2015,6,7,99,7
109086,2015,6,7,2,5
109086,2015,6,5,1,0
109086,2015,6,5,99,0
109086,2015,6,5,2,0
109086,2015,6,4,1,1
109086,2015,6,4,99,3
109086,2015,6,4,2,2
109086,2015,6,2,1,0
109086,2015,6,2,99,3
109086,2015,6,2,2,3
109086,2015,6,3,1,3
109086,2015,6,3,99,6
109086,2015,6,3,2,3
109086,2015,6,6,1,0
109086,2015,6,6,99,0
109086,2015,6,6,2,0
109086,2015,6,8,1,1
109086,2015,6,8,99,3
109086,2015,6,8,2,2
109086,2015,6,99,1,31
109086,2015,6,99,99,83
109086,2015,6,99,2,52
109086,2015,6,9,1,5
109086,2015,6,9,99,12
109086,2015,6,9,2,7
109086,2015,6,1,1,19
109086,2015,6,1,99,49
109086,2015,6,1,2,30
109208,2014,6,7,1,71
109208,2014,6,7,99,160
109208,2014,6,7,2,89
109208,2014,6,5,1,25
109208,2014,6,5,99,36
109208,2014,6,5,2,11
109208,2014,6,4,1,218
109208,2014,6,4,99,404
109208,2014,6,4,2,186
109208,2014,6,2,1,143
109208,2014,6,2,99,290
109208,2014,6,2,2,147
109208,2014,6,3,1,426
109208,2014,6,3,99,772
109208,2014,6,3,2,346
109208,2014,6,6,1,17
109208,2014,6,6,99,25
109208,2014,6,6,2,8
109208,2014,6,8,1,5
109208,2014,6,8,99,15
109208,2014,6,8,2,10
109208,2014,6,99,1,2251
109208,2014,6,99,99,4132
109208,2014,6,99,2,1881
109208,2014,6,9,1,221
109208,2014,6,9,99,314
109208,2014,6,9,2,93
109208,2014,6,1,1,1125
109208,2014,6,1,99,2116
109208,2014,6,1,2,991
109208,2015,6,7,1,91
109208,2015,6,7,99,180
109208,2015,6,7,2,89
109208,2015,6,5,1,16
109208,2015,6,5,99,34
109208,2015,6,5,2,18
109208,2015,6,4,1,222
109208,2015,6,4,99,444
109208,2015,6,4,2,222
109208,2015,6,2,1,134
109208,2015,6,2,99,285
109208,2015,6,2,2,151
109208,2015,6,3,1,450
109208,2015,6,3,99,914
109208,2015,6,3,2,464
109208,2015,6,6,1,22
109208,2015,6,6,99,41
109208,2015,6,6,2,19
109208,2015,6,8,1,9
109208,2015,6,8,99,23
109208,2015,6,8,2,14
109208,2015,6,99,1,2495
109208,2015,6,99,99,4629
109208,2015,6,99,2,2134
109208,2015,6,9,1,287
109208,2015,6,9,99,389
109208,2015,6,9,2,102
109208,2015,6,1,1,1264
109208,2015,6,1,99,2319
109208,2015,6,1,2,1055
109350,2014,6,7,1,27
109350,2014,6,7,99,64
109350,2014,6,7,2,37
109350,2014,6,5,1,5
109350,2014,6,5,99,7
109350,2014,6,5,2,2
109350,2014,6,4,1,20
109350,2014,6,4,99,49
109350,2014,6,4,2,29
109350,2014,6,2,1,59
109350,2014,6,2,99,178
109350,2014,6,2,2,119
109350,2014,6,3,1,234
109350,2014,6,3,99,580
109350,2014,6,3,2,346
109350,2014,6,6,1,0
109350,2014,6,6,99,1
109350,2014,6,6,2,1
109350,2014,6,8,1,0
109350,2014,6,8,99,1
109350,2014,6,8,2,1
109350,2014,6,99,1,503
109350,2014,6,99,99,1272
109350,2014,6,99,2,769
109350,2014,6,9,1,7
109350,2014,6,9,99,18
109350,2014,6,9,2,11
109350,2014,6,1,1,151
109350,2014,6,1,99,374
109350,2014,6,1,2,223
109350,2015,6,7,1,27
109350,2015,6,7,99,62
109350,2015,6,7,2,35
109350,2015,6,5,1,2
109350,2015,6,5,99,6
109350,2015,6,5,2,4
109350,2015,6,4,1,37
109350,2015,6,4,99,76
109350,2015,6,4,2,39
109350,2015,6,2,1,53
109350,2015,6,2,99,169
109350,2015,6,2,2,116
109350,2015,6,3,1,253
109350,2015,6,3,99,654
109350,2015,6,3,2,401
109350,2015,6,6,1,1
109350,2015,6,6,99,1
109350,2015,6,6,2,0
109350,2015,6,8,1,3
109350,2015,6,8,99,4
109350,2015,6,8,2,1
109350,2015,6,99,1,523
109350,2015,6,99,99,1359
109350,2015,6,99,2,836
109350,2015,6,9,1,9
109350,2015,6,9,99,22
109350,2015,6,9,2,13
109350,2015,6,1,1,138
109350,2015,6,1,99,365
109350,2015,6,1,2,227
109651,2014,6,7,1,7
109651,2014,6,7,99,16
109651,2014,6,7,2,9
109651,2014,6,5,1,0
109651,2014,6,5,99,0
109651,2014,6,5,2,0
109651,2014,6,4,1,77
109651,2014,6,4,99,157
109651,2014,6,4,2,80
109651,2014,6,2,1,4
109651,2014,6,2,99,5
109651,2014,6,2,2,1
109651,2014,6,3,1,30
109651,2014,6,3,99,56
109651,2014,6,3,2,26
109651,2014,6,6,1,3
109651,2014,6,6,99,4
109651,2014,6,6,2,1
109651,2014,6,8,1,44
109651,2014,6,8,99,92
109651,2014,6,8,2,48
109651,2014,6,99,1,240
109651,2014,6,99,99,463
109651,2014,6,99,2,223
109651,2014,6,9,1,2
109651,2014,6,9,99,6
109651,2014,6,9,2,4
109651,2014,6,1,1,73
109651,2014,6,1,99,127
109651,2014,6,1,2,54
109651,2015,6,7,1,9
109651,2015,6,7,99,22
109651,2015,6,7,2,13
109651,2015,6,5,1,0
109651,2015,6,5,99,1
109651,2015,6,5,2,1
109651,2015,6,4,1,55
109651,2015,6,4,99,146
109651,2015,6,4,2,91
109651,2015,6,2,1,1
109651,2015,6,2,99,2
109651,2015,6,2,2,1
109651,2015,6,3,1,21
109651,2015,6,3,99,40
109651,2015,6,3,2,19
109651,2015,6,6,1,0
109651,2015,6,6,99,4
109651,2015,6,6,2,4
109651,2015,6,8,1,59
109651,2015,6,8,99,129
109651,2015,6,8,2,70
109651,2015,6,99,1,216
109651,2015,6,99,99,464
109651,2015,6,99,2,248
109651,2015,6,9,1,2
109651,2015,6,9,99,3
109651,2015,6,9,2,1
109651,2015,6,1,1,69
109651,2015,6,1,99,117
109651,2015,6,1,2,48
109721,2014,6,7,1,5
109721,2014,6,7,99,14
109721,2014,6,7,2,9
109721,2014,6,5,1,1
109721,2014,6,5,99,3
109721,2014,6,5,2,2
109721,2014,6,4,1,3
109721,2014,6,4,99,4
109721,2014,6,4,2,1
109721,2014,6,2,1,54
109721,2014,6,2,99,103
109721,2014,6,2,2,49
109721,2014,6,3,1,38
109721,2014,6,3,99,107
109721,2014,6,3,2,69
109721,2014,6,6,1,1
109721,2014,6,6,99,2
109721,2014,6,6,2,1
109721,2014,6,8,1,0
109721,2014,6,8,99,0
109721,2014,6,8,2,0
109721,2014,6,99,1,114
109721,2014,6,99,99,261
109721,2014,6,99,2,147
109721,2014,6,9,1,2
109721,2014,6,9,99,2
109721,2014,6,9,2,0
109721,2014,6,1,1,10
109721,2014,6,1,99,26
109721,2014,6,1,2,16
109721,2015,6,7,1,3
